cases_date,cases_max_date,cases_Lat,cases_Long,cases_case_lat_long_id,cases_Country/Region,cases_Province/State,country_populations_pop2020,country_populations_area,country_populations_Density,country_populations_worldPercentage,country_populations_rank,continent_sub-region,continent_continentName,recovered,confirmed,deaths,canada_PROV_TERR_ID,canada_PROV_TERR_NAME_NOM,canada_GEO_UID,canada_GEO_ID,canada_GEO_NAME_NOM,canada_GEO_TYPE,canada_TOPIC_THEME,canada_TEXT_ID,canada_HIER_ID,canada_INDENT_ID,canada_TEXT_NAME_NOM,canada_NOTE_ID,canada_NOTE,canada_T_DATA_DONNEE,canada_T_SYM,canada_M_DATA_DONNEE,canada_M_SYM,canada_F_DATA_DONNEE,canada_F_SYM,10_or_more_confirmed_cases,10_or_more_confirmed_cases_day_count,25_or_more_confirmed_cases,25_or_more_confirmed_cases_day_count,100_or_more_confirmed_cases,100_or_more_confirmed_cases_day_count
2020-01-22,2020-04-01,37.2692,106.1655,171.0,China,Ningxia,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,1,0,,,,,,,,,,,,,,,,,,,,False,1.0,False,1.0,False,1.0
2020-01-22,2020-04-01,37.5777,112.2922,172.0,China,Shanxi,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,1,0,,,,,,,,,,,,,,,,,,,,False,1.0,False,1.0,False,1.0
2020-01-22,2020-04-01,39.3054,117.323,177.0,China,Tianjin,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,4,0,,,,,,,,,,,,,,,,,,,,False,1.0,False,1.0,False,1.0
2020-01-22,2020-04-01,39.549,116.1306,179.0,China,Hebei,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,1,0,,,,,,,,,,,,,,,,,,,,False,1.0,False,1.0,False,1.0
2020-01-22,2020-04-01,40.1824,116.4142,183.0,China,Beijing,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,14,0,,,,,,,,,,,,,,,,,,,,True,1.0,False,1.0,False,1.0
2020-01-22,2020-04-01,41.2956,122.6085,187.0,China,Liaoning,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,2,0,,,,,,,,,,,,,,,,,,,,False,1.0,False,1.0,False,1.0
2020-01-23,2020-04-01,1.2833,103.8333,44.0,Singapore,,5850.342,710.0,8.239918309859155,0.0007505638188694986,114,South-eastern Asia,,0,1,0,,,,,,,,,,,,,,,,,,,,False,1.0,False,1.0,False,1.0
2020-01-23,2020-04-01,15.0,101.0,87.0,Thailand,,69799.978,513120.0,0.13603051527907703,0.008954918882466528,20,South-eastern Asia,,0,3,0,,,,,,,,,,,,,,,,,,,,False,2.0,False,2.0,False,2.0
2020-01-23,2020-04-01,16.0,108.0,93.0,Vietnam,,97338.579,331212.0,0.29388602768015654,0.012487956358375352,15,South-eastern Asia,,0,2,0,,,,,,,,,,,,,,,,,,,,False,1.0,False,1.0,False,1.0
2020-01-23,2020-04-01,19.1959,109.7453,109.0,China,Hainan,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,5,0,,,,,,,,,,,,,,,,,,,,False,2.0,False,2.0,False,2.0
2020-01-23,2020-04-01,22.1667,113.55,118.0,China,Macau,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,2,0,,,,,,,,,,,,,,,,,,,,False,2.0,False,2.0,False,2.0
2020-01-23,2020-04-01,22.3,114.2,119.0,China,Hong Kong,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,2,0,,,,,,,,,,,,,,,,,,,,False,2.0,False,2.0,False,2.0
2020-01-23,2020-04-01,23.3417,113.4244,120.0,China,Guangdong,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,2,32,0,,,,,,,,,,,,,,,,,,,,True,2.0,True,2.0,False,2.0
2020-01-23,2020-04-01,23.8298,108.7881,124.0,China,Guangxi,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,5,0,,,,,,,,,,,,,,,,,,,,False,2.0,False,2.0,False,2.0
2020-01-23,2020-04-01,24.974,101.487,127.0,China,Yunnan,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,2,0,,,,,,,,,,,,,,,,,,,,False,2.0,False,2.0,False,2.0
2020-01-23,2020-04-01,26.0789,117.9874,132.0,China,Fujian,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,5,0,,,,,,,,,,,,,,,,,,,,False,2.0,False,2.0,False,2.0
2020-01-23,2020-04-01,26.8154,106.8748,134.0,China,Guizhou,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,3,0,,,,,,,,,,,,,,,,,,,,False,2.0,False,2.0,False,2.0
2020-01-23,2020-04-01,27.6104,111.7088,136.0,China,Hunan,1439323.7759999998,9706961.0,0.1482774862286971,0.18465661493024282,1,Eastern Asia,,0,9,0,,,,,,,,,,,,,,,,,,,,False,2.0,False,2.0,False,2.0
